id,카드사,카드이름,혜택요약
1,기업은행,BLISS.7카드,"TOP포인트/ 항공마일리지 적립 택11,500원당 10포인트 or 1마일"
2,기업은행,기업은행 일상의 기쁨카드,"쿠팡/티몬/위메프 20% 쇼핑할인!올리브영 10%, 마트 5% 할인까지"
3,기업은행,무민 카드(신용),"쿠팡/티몬/위메프 20% 쇼핑할인!올리브영 10%, 마트 5% 할인까지"
4,기업은행,쇼핑앤조이 카드,"오픈마켓/소셜커머스 5,000원 할인해외 온·오프라인 쇼핑 5% 할인!"
5,기업은행,기업은행 용인시민카드,용인시 놀이공원 최대60% 현장할인!용인시 경전철 포함 대중교통 3%할인
6,기업은행,기업은행 Oil & Life카드 (Oil),GS칼텍스 리터당 120원 할인!autoOasis정비 최대 2만원할인
7,기업은행,코웨이 IBK카드,"코웨이 최대 23,000원 청구할인렌탈료 자동이체 결제 시"
8,기업은행,IBK 국민행복카드,"임신, 출산진료비 지원 60만원까지!보육료, 유아학비 산모건강관리 지원!"
9,기업은행,참! 좋은 친구 청년동행카드,청년교통비 매월 5만원 지원!만 34세 이하만 발급 가능!
10,기업은행,ONE AIR 카드,"제주,진에어,티웨이,에어서울,에어부산이스타항공 LCC 유니마일 적립카드!"
11,기업은행,IBKhi카드,"철도, 고속버스, 택시 5% 할인!대중교통 최대 회당 300원 할인!"
12,기업은행,기업은행 참! 좋은 다이소카드,"다이소매장 30% 할인, 멤버십 적립미용실, 카페, 편의점, 영화 할인!"
13,기업은행,참! 좋은 kt wiz 카드,케이티 위즈파크 입장권 3천원 할인!구단 야구용품 10% 할인!
14,기업은행,아모레퍼시픽IBK카드,아모레퍼시픽 10% 청구할인!카페/편의점/대중교통 등 다양한혜택!
15,기업은행,기업은행 Oil & Life카드(Life),"전국 음식점,커피,주점, 제과 10%주유/차량정비, 통신, 영화 등 할인"
