id,카드사,카드이름,혜택요약
1,농협은행,NH 농협 올바른 FLEX 카드,커피/스트리밍/배달앱/쇼핑 청구할인모든 일상에서 FLEX 청구할인!
2,농협은행,NH올원 파이카드,온라인쇼핑+선택업종 7~20%청구할인주유/통신/마트/의료/해외혜택 선택!
3,농협은행,NH 농협 국민행복카드(비씨),"임신, 출산, 유아학비와 보육료지원!국가 바우처를 사용하는 통합카드!"
4,농협은행,NH1961카드,전가맹점 0.7~0.9% 포인트 적립라이프영역 10~50% 포인트 적립
5,농협은행,SOHO 다사로이카드,4대사회보험·전기요금 5% 특별할인국내·해외 이용가맹점 0.5% 할인
6,농협은행,NH20 해봄카드,"커피 30%, 쇼핑 10% 청구할인!2030 선호 업종 필수혜택 가득!"
7,농협은행,NH 농협 Asiana Club (아시아나클럽) 카드,영화/커피 2배 면세/항공 3배 적립이용금액 천원당 1마일리지 기본 적립
8,농협은행,NH 농협 콕카드,쇼핑/통신/의료 10% 청구할인농촌/도시/일반형팩에서 혜택 선택!
9,농협은행,NH 농협 올바른 OIL&PASS 카드,OIL팩/PASS팩 교통수단 청구할인팩 선택해서 원하는 교통수단 청구할인
10,농협은행,NH 농협 올바른 MYPICK 카드,커피/교통+내 선택 팩 5% 청구할인이용감사 보너스 포인트 제공!
11,농협은행,NH 농협 SKYPASS카드,"항공마일리지 최대 3배 적립!영화/커피는 2배, 면세/항공은 3배"
12,농협은행,NH 농협 올바른 OIL카드,"GS, 농협주유소 최대 150원 할인카페/편의점/대중교통 적립혜택까지!"
13,농협은행,NH 농협 올바른 하나로(Hanaro) 카드,농협판매장 이용금액5% NH포인트적립생활편의업종 이용액3% NH포인트적립
14,농협은행,NH 농협 올바른 Edu카드,유치원/학원/학습지 5% 청구할인10대 생활업종 0.5~1% 청구할인
15,농협은행,NH 농협 LCC UniMile 카드,저비용 항공사 3% 유니마일 적립!국내외 공항라운지 무료 이용!
