id,카드사,카드이름,혜택요약
1,롯데카드,LOCA LIKIT 1.2 카드,국내/외 모든 가맹점 1.2% 할인!온라인 1.5% 결제일 할인!
2,롯데카드,LOCA LIKIT Eat 카드,"배민,쿠팡이츠,요기요 60% 할인!?주요 카페 60% 할인!"
3,롯데카드,LOCA CLASSIC,한도없는 국내외가맹점 최대 1% 할인내게 맞는 혜택은 세트로 할인
4,롯데카드,I’m WONDERFUL PLUS 카드,한도제한 없이 최대 0.7% 기본할인10만원 이상 결제시 최대1.4%할인
5,롯데카드,롯데 포인트플러스 카드,"L.POINT 2배 적립 및 할인혜택롯데백화점 5%할인, 무료주차권 제공"
6,롯데카드,롯데백화점 FLEX카드,국내외 가맹점 0.5% L포인트 적립스타벅스 50%·스트리밍 30% 할인
7,롯데카드,ALL MY POINT 카드,1~1.5% L.POINT적립신규발급 100% 연회비캐시백!
8,롯데카드,LOCA LIKIT Shop 카드,"쿠팡,위메프,티몬 60% 결제일 할인미용실, 편의점 60% 결제일 할인!"
9,롯데카드,LOCA LIKIT Play 카드,"주유, 영화, 스트리밍 60% 할인!넷플릭스,왓챠,유튜브,멜론 결제일할인"
10,롯데카드,ALL MY LIVING 카드,주요 생활비 업종 5% 결제일할인!신규발급 100% 연회비캐시백
11,롯데카드,롤라카드,"롯데그룹7%, SK 1% 적립!롤라머니 연 최대 84만원의 혜택!"
12,롯데카드,LOCA LIKIT 카드,스타벅스·영화·대중교통·통신·배달앱실속있게 챙기는 생활 밀착 혜택 할인
13,롯데카드,I’m Powerful 카드,"슈퍼, 병원, 카페 최대 2% 할인통신, 대중교통 최대 5% 할인"
14,롯데카드,I’m DRIVING 카드,"주유비 할인(기본/특별), 오토할인드라이버 할인(편의점, 주차장 등)"
