id,카드사,카드이름,혜택요약
1,삼성카드,taptap O,"스타벅스50%, 교통·통신10% 할인G마켓·옥션·11번가 7% 할인"
2,삼성카드,iD ON,연 최대 48만원 할인!배달앱·스트리밍·온라인간편결제 할인
3,삼성카드,4,실적한도 제한없이 어디서나 할인!모든 가맹점에서 2~3개월 무이자할부
4,삼성카드,taptap DRIVE,모든주유소 리터당 최대 150원 할인온라인쇼핑&간편결제 한도없이 1%할인
5,삼성카드,iD ALL,국내외 가맹점 실적한도 없이 할인많이 쓰는 영역은 5% 자동 할인!
6,삼성카드,taptap DIGITAL,넷플릭스·멜론 등 스트리밍 50%할인온라인 간편결제 연 최대 24만원할인
7,삼성카드,아메리칸 엑스프레스 블루,"편의점·배달앱7%적립, 스벅20%할인온라인 간편결제·해외 등 1.5%적립"
8,삼성카드,아메리칸 엑스프레스 그린,170년 전통 아멕스의 프리미엄 혜택업종별 최대 2% 멤버십리워즈 적립
9,삼성카드,taptap S,"심플하지만 실속있는 1% 적립 혜택!모든 주유소, 모든 영화관 할인"
10,삼성카드,2 V4,"교통·통신, 커피·편의점 5% 할인넷플릭스·배달앱·슈퍼마켓 등 5%할인"
11,삼성카드,6 V4,모든주유소 리터당 70원·90원 할인할인점·편의점·배달앱 등 1.5%할인
12,삼성카드,taptap SHOPPING,"온·오프라인쇼핑 연 최대 48만원할인스트리밍 3천원, 해외 1.5% 할인"
13,삼성카드,3 V4,"교육·주유, 할인점·해외 3% 할인편의점·배달앱·커피·제과 등 3%할인"
14,삼성카드,CU·배달의민족 삼성카드 taptap,CU·배달의민족 월 최대 1만원할인대중교통 월 최대 6천원 결제일할인
15,삼성카드,taptap I,"마켓컬리 20%, 커피·제과점 할인일상 속 매월 최대 4만6천원 할인"
