id,카드사,카드이름,혜택요약,
1,신한은행,Mr.Life,"생활혜택 연간 최대 60만원 할인!쇼핑,통신,마트,외식 주요혜택 10%",
2,신한은행,Deep oil,연간 최대 36만원 주유비 할인!전국주차장 10%，생활영역 5% 할인,
3,신한은행,Deep Dream,"전월실적·적립한도 없이 0.7% 적립자주가면 3배, 많이쓰면 5배 적립!",
4,신한은행,The More,기본 적립 1천원 미만 금액 적립특별 가맹점은 더블로 적립 받자,
5,신한은행,Simple+,"전월실적 상관없이 0.7% 캐시백!월 10회, 1천원 미만 잔돈 할인!",
6,신한은행,MY CAR,자동차할부 연간 최대 48만원 캐시백모든 주유소 리터 당 80원 할인,
7,신한은행,Deep Dream Platinum+,백화점·쇼핑·카페 최대 5.5% 적립신규 고객 연회비 100% 캐시백!,
8,신한은행,B.Big,대중교통 할인 월 최대 3만 3천원!택시부터 쇼핑까지 Big하게 할인!,
9,신한은행,YOLO,"스타벅스, 쿠팡, CGV 최대 20%6개 선택처 10~20% 할인율 선택",
10,신한은행,Deep Taking,"쇼핑, 카페, 생활 17개 혜택 영역가는 곳만 가는 당신을 위한 적립카드",
11,신한은행,Deep On Platinum+,"온라인 간편결제 이용시 10% 할인!편의점,생활,커피,월납 20% 할인",
12,신한은행,Deep Making,혜택도 적립율도 내맘대로 DIY17개 영역，17% 적립율 맞춤 선택,
13,신한은행,Deep Store,"생활쇼핑 가맹점 최대15% 할인커피전문점,제과점 업종 10%할인",
14,신한은행,Shopping,특별한 쇼핑의순간 Shopping카드온-오프라인 쇼핑 10% 할인,
15,신한은행,Unboxing,"온오프라인 구분없이 쇼핑 10%캐시백배송비, 온라인몰 월회비 할인까지",
