id,카드사,카드이름,혜택요약
1,우리카드,DA@카드의 정석,할인한도 제한없이 모든 가맹점 할인전월실적 관계없이 최대 1.3% 할인
2,우리카드,D4@카드의 정석,"스벅 55%, 대중교통 33% 할인4대 업종 집중할인"
3,우리카드,카드의정석SHOPPING,"온,오프라인 쇼핑 최대 15%할인!쇼핑이 시작되면, 할인도 시작된다."
4,우리카드,카드의정석 NEW우리V카드,"CGV,롯데시네마,메가박스 6천원할인온라인 신규회원 100% 연회비캐시백"
5,우리카드,알뜰교통 우리카드,대중교통 및 자동납부 10% 청구할인대형할인점 업종 2천원 청구할인
6,우리카드,카드의정석 UNTACT AIR,정기결제 최대 20% 할인3대 배달어플 30% 적립
7,우리카드,카드의정석 댕댕냥이,쇼핑도 동물병원도 최대 10%할인!댕댕냥이와 함께하는 할인 혜택
8,우리카드,Hole In : WON 우리카드,"골프 업종 이용금액 5% 적립골프연습장 타석권, 커피 무료 제공"
9,우리카드,카드의정석POINT,모아포인트 0.8%~5% 적립주요 간편결제 3% 추가적립
10,우리카드,카드의정석 UNTACT,정기결제 최대 20% 청구할인쿠팡 로켓와우 멤버십 할인
11,우리카드,카드의정석DISCOUNT,모든 국내가맹점 최대 1% 청구할인대중교통 10% 청구할인
12,우리카드,카드의정석 APT,"아파트관리비 연최대 18만원 청구할인유튜브/넷플릭스 정기권,도시가스할인"
13,우리카드,카드의정석 WOWRI,국내가맹점 모아포인트 한도없이 적립하고 최대 5만점 특별/추가적립까지
14,우리카드,카드의정석L.POINT,온라인 신규회원 100% 연회비캐시백L.POINT 최대 5% 적립
15,우리카드,우리카드 WON DISCOUNT AIR,디지털 업종 10% 할인생활 업종 5% 할인
16,우리카드,우리카드 WON POINT AIR,디지털 생활 5% 적립온라인 쇼핑 3% 적립
17,우리카드,카드의정석 UniMile,6대 저가 항공사 유니마일 3% 적립UnionPay Platinum서비스
18,우리카드,카드의정석 삼성디지털프라자,"삼성디지털프라자 상품,서비스 구매 시장기할부/청구할인서비스 제공"
19,우리카드,카드의정석 UNTACT PLATINUM,정기결제 최대 20% 청구할인쿠팡 멤버십 할인
20,우리카드,카드의정석 US,"전기차, 수소차 충전 50% 적립10대 간편결제 0.7% 적립"
21,우리카드,ALL FOR ME카드,스타벅스 건당 최대 5천원 할인!많이 이용한 순서대로 자동할인
