id,카드사,카드이름,혜택요약
1,하나카드,MULTI Oil,"자동차 특화 혜택 카드!주유, 주차, 커피 등 다양한 할인!"
2,하나카드,MULTI ON,"전월 실적, 한도 없이 하나머니 적립온라인 결제시 추가 적립 혜택!"
3,하나카드,MULTI Living,가족소비 특화 할인 카드!주중/주말에 따른 생활비 할인 혜택!
4,하나카드,MULTI Any,"전월 실적, 한도 없이 하나머니 적립간편결제 이용시 추가 적립까지!"
5,하나카드,MULTI Young,간편결제 1% 청구 할인!디지털 구독 30% 청구 할인!
6,하나카드,Any PLUS,국내 가맹점 0.7% 할인국내 온라인/해외 1.7% 할인
7,하나카드,하나멤버스 1Q카드 내맘대로,"다른 서비스가 필요할땐 내맘대로 변경점심값,편의점,주유 직장인형 내맘대로"
8,하나카드,#tag1카드 Navy,"학원,아파트관리비 10% 우대 할인대형마트,패밀리레스토랑 우대 할인"
9,하나카드,Smart Any,온라인 결제 시 최대 1.4% 할인전국 어디서나 0.8% 할인
10,하나카드,1Q Special+,스페셜 적립 월 최대 4만 머니플러스 적립 월 최대 3만 머니
11,하나카드,모두의 쇼핑,"온라인 쇼핑10%,생활쇼핑 5% 적립프리미엄 아울렛 5% 적립"
12,하나카드,1Q Shopping+,쇼핑 적립 월 최대 4만 하나머니플러스 적립 월 최대 3만 하나머니
13,하나카드,CLUB PREMIER 카드,국내 6대 저가항공 50% 청구할인전 세계 제휴 라운지 무료 입장
14,하나카드,1Q Daily+,매일매일 최대 1.0% 적립플러스 적립 월 최대 1만 5천 머니
15,하나카드,CLUB PREMIER 카드,국내 특급호텔 50% 청구할인전 세계 제휴 라운지 무료 입장
