id,카드사,카드이름,혜택요약
1,현대카드,M BOOST,적립한도 없는 최대 4.5% 기본적립보너스리워드 1만 M포인트적립 혜택!
2,현대카드,X BOOST,모든 가맹점 1% 기본 할인온라인 간편결제 서비스 5% 할인
3,현대카드,Z family,온라인쇼핑·대형마트·배달앱 10%할인주유 리터당 100원 청구 할인
4,현대카드,ZERO Edition 2(할인형),어디서나 최대1.5%할인과 무이자할부신규회원 연회비 상당 혜택
5,현대카드,X3 BOOST,모든 가맹점 기본 할인메탈 소재 플레이트 발급 가능
6,현대카드,ZERO Edition 2(포인트형),어디서나 최대2.5%적립과 무이자할부신규회원 연회비 상당 혜택
7,현대카드,Z work,스타벅스·투썸 등 커피 50% 할인편의점·대중교통·페이 10% 할인
8,현대카드,M3 BOOST,국내외 가맹점 최대 6% 적립보너스리워드 1만 M포인트적립 혜택!
9,현대카드,X2 BOOST,해외 가맹점 5% 할인365일 24시간 신청 가능
10,현대카드,ZERO MOBILE Edition2(할인형),조건없이 최대1.5%할인과 무이자할부신규회원 연회비 상당 혜택
11,현대카드,Z ontact,온라인쇼핑 멤버쉽 70% 할인커피 스마트오더 50% 할인
12,현대카드,ZERO MOBILE Edition2(포인트형),조건없이 최대2.5%적립과 무이자할부신규회원 연회비 상당 혜택
13,현대카드,M2 BOOST,적립한도 없는 최대 4.5% 기본적립이용금액에 따라 최대 1.5배 적립
